action,score,retailer,scraped_name,scraped_price,matched_name,matched_slug,matched_category,product_url
WOULD IGNORE,0%,UltraPC,"AMD Ryzen 7 5700X3D (3.0 GHz / 4.1 GHz)",2899.00,"",,,https://www.ultrapc.ma/socket-am4/7580-amd-ryzen-7-5700x3d-30-ghz-41-ghz.html
WOULD IGNORE,0%,UltraPC,"AMD Ryzen 7 5700X3D (3.0 GHz / 4.1 GHz) Tray",2599.00,"",,,https://www.ultrapc.ma/socket-am4/7611-amd-ryzen-7-5700x3d-30-ghz-41-ghz-tray.html
WOULD MAP,100%,UltraPC,"AMD Ryzen 7 5800X (3.8 GHz / 4.7 GHz) BOX",2399.00,"AMD Ryzen 7 5800X",amd-ryzen-7-5800x,cpu,https://www.ultrapc.ma/socket-am4/4512-amd-ryzen-7-5800x-38-ghz-47-ghz-box.html
WOULD MAP,100%,UltraPC,"AMD Ryzen 7 5800X (3.8 GHz / 4.7 GHz) Tray",2699.00,"AMD Ryzen 7 5800X",amd-ryzen-7-5800x,cpu,https://www.ultrapc.ma/socket-am4/3865-amd-ryzen-7-5800x-38-ghz-47-ghz-tray.html
WOULD IGNORE,0%,UltraPC,"AMD Ryzen 7 5800X3D (3.4 GHz / 4.5 GHz)",4199.00,"",,,https://www.ultrapc.ma/socket-am4/7581-amd-ryzen-7-5800x3d-34-ghz-45-ghz.html
WOULD IGNORE,0%,UltraPC,"AMD Ryzen 7 5800XT Wraith Prism (3.8 GHz / 4.8 GHz) BOX",2199.00,"",,,https://www.ultrapc.ma/socket-am4/9743-amd-ryzen-7-5800xt-wraith-prism-38-ghz-48-ghz-box.html
WOULD MAP,100%,UltraPC,"AMD Ryzen 7 7800X3D (4.2 GHz / 5.0 GHz)",5399.00,"AMD Ryzen 7 7800X3D",amd-ryzen-7-7800x3d,cpu,https://www.ultrapc.ma/socket-am5/5405-amd-ryzen-7-7800x3d-42-ghz-50-ghz.html
WOULD MAP,100%,UltraPC,"AMD Ryzen 7 7800X3D (4.2 GHz / 5.0 GHz) Tray",5699.00,"AMD Ryzen 7 7800X3D",amd-ryzen-7-7800x3d,cpu,https://www.ultrapc.ma/socket-am5/7613-amd-ryzen-7-7800x3d-42-ghz-50-ghz-tray.html
WOULD MAP,100%,UltraPC,"AMD Ryzen 7 7800X3D (4.2 GHz / 5.0 GHz) Tray",3599.00,"AMD Ryzen 7 7800X3D",amd-ryzen-7-7800x3d,cpu,https://www.ultrapc.ma/socket-am5/9668-amd-ryzen-7-7800x3d-42-ghz-50-ghz-tray.html
WOULD IGNORE,0%,UltraPC,"AMD Ryzen 7 8700F (4.1 GHz / 5.0 GHz) Tray",1799.00,"",,,https://www.ultrapc.ma/socket-am5/9840-amd-ryzen-7-8700f-41-ghz-50-ghz-tray.html
WOULD IGNORE,0%,UltraPC,"AMD Ryzen 7 8700G Wraith Spire (4.2 GHz / 5.1 GHz)",3199.00,"",,,https://www.ultrapc.ma/socket-am5/7352-amd-ryzen-7-8700g-wraith-spire-42-ghz-51-ghz.html
WOULD MAP,100%,UltraPC,"AMD Ryzen 7 9700X (3.8 GHz / 5.5 GHz) BOX",3999.00,"AMD Ryzen 7 9700X",amd-ryzen-7-9700x,cpu,https://www.ultrapc.ma/socket-am5/8428-amd-ryzen-7-9700x-38-ghz-55-ghz-box.html
WOULD MAP,100%,UltraPC,"AMD Ryzen 7 9700X (3.8 GHz / 5.5 GHz) Tray",3299.00,"AMD Ryzen 7 9700X",amd-ryzen-7-9700x,cpu,https://www.ultrapc.ma/socket-am5/8639-amd-ryzen-7-9700x-38-ghz-55-ghz-tray.html
